id,full_name,gender,age,email,phone,education,college,iit_iim_nit,serial_entrepreneur,linkedin_profile,experience_years,prev_company,created_at,updated_at
255,Shiv Modi,Male,42,shiv.modi49@gmail.com,+91-9807514105,B.Com,IIM Bangalore,Yes,No,https://linkedin.com/in/shiv-modi-701,21,Amazon,2021-10-17 08:24:58,2023-08-17 16:25:22
256,Vivek Shah,Male,52,vivek.shah1@gmail.com,+91-9155373421,MBA,FMS Delhi,No,No,https://linkedin.com/in/vivek-shah-269,8,Amazon,2021-10-08 20:17:13,2023-06-03 05:10:23
257,Kunal Iyer,Male,37,kunal.iyer93@gmail.com,+91-7486786005,CA,Pune University,No,No,https://linkedin.com/in/kunal-iyer-590,7,Paytm,2017-10-22 20:53:26,2023-01-23 07:02:08
258,Kavya Trivedi,Female,25,kavya.trivedi19@gmail.com,+91-7240140248,MBA,XLRI,No,No,https://linkedin.com/in/kavya-trivedi-284,17,Zomato,2022-09-20 18:40:01,2024-11-08 09:05:13
259,Pradeep Shah,Male,51,pradeep.shah22@gmail.com,+91-7942160389,B.Com,SRM,No,No,https://linkedin.com/in/pradeep-shah-913,19,None,2018-01-14 19:42:32,2023-09-28 05:46:43
260,Tarun Basu,Male,43,tarun.basu9@gmail.com,+91-7987042690,B.Com,XLRI,No,No,https://linkedin.com/in/tarun-basu-235,4,Google,2018-04-08 16:55:58,2024-05-31 21:26:52
261,Asha Joshi,Female,29,asha.joshi79@gmail.com,+91-9576180666,B.Tech,SRM,No,Yes,https://linkedin.com/in/asha-joshi-195,16,None,2017-06-17 19:34:52,2023-01-02 21:41:27
262,Manish Singh,Male,46,manish.singh55@gmail.com,+91-7985635941,CA,Manipal,No,No,https://linkedin.com/in/manish-singh-458,19,None,2023-10-24 18:06:27,2023-05-18 08:30:49
263,Vandana Mehta,Female,33,vandana.mehta70@gmail.com,+91-8755124229,M.Sc,FMS Delhi,No,No,https://linkedin.com/in/vandana-mehta-105,23,None,2016-01-30 18:33:07,2024-06-16 00:24:41
264,Sita Banerjee,Female,37,sita.banerjee14@gmail.com,+91-7664768939,B.Com,Anna University,No,No,https://linkedin.com/in/sita-banerjee-367,18,Zomato,2022-05-01 11:39:17,2024-11-27 12:48:13
265,Harsh Bhatt,Male,39,harsh.bhatt48@gmail.com,+91-9401289703,PGDM,IIM Bangalore,Yes,No,https://linkedin.com/in/harsh-bhatt-359,10,Paytm,2019-11-11 22:25:47,2023-05-22 21:07:47
266,Pallavi Reddy,Female,27,pallavi.reddy66@gmail.com,+91-8720395994,PhD,NIT Trichy,Yes,Yes,https://linkedin.com/in/pallavi-reddy-264,13,None,2016-01-22 02:52:09,2024-04-27 19:27:05
267,Nikhil Iyer,Male,35,nikhil.iyer78@gmail.com,+91-7162157936,B.Com,IIT Madras,Yes,No,https://linkedin.com/in/nikhil-iyer-728,21,Ola,2019-03-19 22:38:03,2023-06-29 20:31:28
268,Aditya Pandya,Male,33,aditya.pandya5@gmail.com,+91-9574896934,PGDM,NIT Trichy,Yes,No,https://linkedin.com/in/aditya-pandya-729,6,None,2016-05-27 11:15:41,2023-01-01 05:05:17
269,Manish Ghosh,Male,36,manish.ghosh26@gmail.com,+91-9223687972,B.Tech,XLRI,No,Yes,https://linkedin.com/in/manish-ghosh-192,18,Wipro,2022-04-09 18:22:22,2023-10-11 07:38:12
270,Tarun Ghosh,Male,42,tarun.ghosh34@gmail.com,+91-7751768690,B.Com,IIT Bombay,Yes,Yes,https://linkedin.com/in/tarun-ghosh-672,3,Ola,2019-04-20 10:07:51,2024-06-09 08:56:34
271,Varun Mukherjee,Male,36,varun.mukherjee62@gmail.com,+91-8044850685,PhD,XLRI,No,No,https://linkedin.com/in/varun-mukherjee-797,15,Paytm,2016-04-22 15:07:16,2023-03-11 12:40:50
272,Radha Iyer,Female,49,radha.iyer53@gmail.com,+91-8516536926,PGDM,Pune University,No,Yes,https://linkedin.com/in/radha-iyer-817,9,TCS,2019-03-22 02:25:43,2023-12-17 02:35:59
273,Smita Banerjee,Female,35,smita.banerjee74@gmail.com,+91-8155671697,MBA,NIT Trichy,Yes,No,https://linkedin.com/in/smita-banerjee-610,24,TCS,2018-08-19 23:15:55,2023-09-29 06:14:12
274,Seema Yadav,Female,35,seema.yadav14@gmail.com,+91-7514874186,M.Tech,IIM Ahmedabad,Yes,No,https://linkedin.com/in/seema-yadav-728,1,None,2022-01-26 01:54:30,2024-01-16 19:20:31
275,Vivek Nair,Male,48,vivek.nair36@gmail.com,+91-8708879427,B.Sc,Manipal,No,No,https://linkedin.com/in/vivek-nair-155,17,None,2020-09-29 15:34:02,2024-05-29 11:25:55
276,Pallavi Agarwal,Female,46,pallavi.agarwal59@gmail.com,+91-8355711871,B.Tech,Manipal,No,Yes,https://linkedin.com/in/pallavi-agarwal-790,7,Zomato,2022-07-07 03:20:23,2024-09-19 08:11:35
277,Karan Malhotra,Male,39,karan.malhotra44@gmail.com,+91-8571632270,MBA,FMS Delhi,No,No,https://linkedin.com/in/karan-malhotra-534,7,Zomato,2023-11-10 11:23:54,2024-02-15 08:28:11
278,Geeta Iyer,Female,50,geeta.iyer93@gmail.com,+91-8159422567,B.Sc,IIT Kharagpur,Yes,No,https://linkedin.com/in/geeta-iyer-976,13,TCS,2017-08-20 23:09:30,2023-01-10 05:26:31
279,Sudha Pandya,Female,41,sudha.pandya63@gmail.com,+91-8288637003,M.Sc,Pune University,No,Yes,https://linkedin.com/in/sudha-pandya-507,4,None,2017-10-31 01:13:52,2023-09-18 15:53:40
280,Pankaj Chatterjee,Male,32,pankaj.chatterjee47@gmail.com,+91-9406685070,PGDM,Anna University,No,No,https://linkedin.com/in/pankaj-chatterjee-452,1,Zomato,2017-05-11 11:55:43,2024-09-12 06:36:36
281,Kiran Kapoor,Female,35,kiran.kapoor87@gmail.com,+91-9192342557,CA,Pune University,No,No,https://linkedin.com/in/kiran-kapoor-180,13,Paytm,2019-03-19 14:40:09,2023-06-21 20:51:59
282,Gaurav Yadav,Male,42,gaurav.yadav10@gmail.com,+91-7339783148,MBA,Jadavpur University,No,No,https://linkedin.com/in/gaurav-yadav-333,11,Flipkart,2023-04-28 09:45:17,2024-09-11 20:25:17
283,Ankit Das,Male,47,ankit.das67@gmail.com,+91-8933975047,B.Com,XLRI,No,No,https://linkedin.com/in/ankit-das-288,1,Infosys,2018-08-19 21:16:47,2024-12-18 23:05:13
284,Ankita Joshi,Female,27,ankita.joshi61@gmail.com,+91-9355504998,B.Tech,IIT Madras,Yes,Yes,https://linkedin.com/in/ankita-joshi-889,13,Ola,2016-12-06 03:16:39,2023-06-09 02:41:59
285,Rohit Iyer,Male,31,rohit.iyer57@gmail.com,+91-9690714075,MBA,Delhi University,No,No,https://linkedin.com/in/rohit-iyer-639,6,Google,2016-05-23 21:22:55,2023-11-30 15:29:55
286,Harsh Mukherjee,Male,28,harsh.mukherjee23@gmail.com,+91-9537599506,B.E,Amity,No,No,https://linkedin.com/in/harsh-mukherjee-746,24,None,2022-04-29 13:33:40,2024-10-16 17:19:58
287,Vivek Modi,Male,31,vivek.modi57@gmail.com,+91-8322283789,PhD,IIT Madras,Yes,No,https://linkedin.com/in/vivek-modi-366,5,Wipro,2016-02-13 00:33:52,2023-05-20 11:18:30
288,Varun Desai,Male,48,varun.desai39@gmail.com,+91-7039224201,B.Com,SRM,No,No,https://linkedin.com/in/varun-desai-711,8,None,2016-01-30 17:23:12,2024-02-26 17:27:25
289,Divya Sen,Female,50,divya.sen29@gmail.com,+91-8129491690,M.Tech,Jadavpur University,No,No,https://linkedin.com/in/divya-sen-740,8,Ola,2022-11-16 22:43:17,2023-10-19 20:47:34
290,Gaurav Menon,Male,51,gaurav.menon24@gmail.com,+91-7586795774,M.Sc,IIT Madras,Yes,Yes,https://linkedin.com/in/gaurav-menon-752,15,Paytm,2021-01-28 08:44:39,2024-05-18 06:20:01
291,Sneha Modi,Female,24,sneha.modi14@gmail.com,+91-8211672712,M.Sc,IIM Bangalore,Yes,No,https://linkedin.com/in/sneha-modi-832,15,None,2016-02-03 07:05:09,2023-01-16 15:13:21
292,Rohit Desai,Male,35,rohit.desai90@gmail.com,+91-7136309890,PhD,VIT,No,Yes,https://linkedin.com/in/rohit-desai-963,25,Infosys,2016-08-17 08:49:25,2023-03-15 17:30:11
293,Sudha Chopra,Female,50,sudha.chopra2@gmail.com,+91-7523820885,B.Sc,Jadavpur University,No,No,https://linkedin.com/in/sudha-chopra-889,15,TCS,2016-05-17 06:29:47,2023-04-07 16:42:13
294,Deepak Khanna,Male,34,deepak.khanna81@gmail.com,+91-7181187132,PGDM,IIM Bangalore,Yes,Yes,https://linkedin.com/in/deepak-khanna-359,16,None,2019-05-08 06:23:56,2023-02-23 21:13:07
295,Anjali Roy,Female,34,anjali.roy22@gmail.com,+91-8185840646,B.E,IIT Bombay,Yes,Yes,https://linkedin.com/in/anjali-roy-505,8,Google,2016-06-21 18:50:44,2024-05-01 22:38:09
296,Ankit Mehta,Male,31,ankit.mehta64@gmail.com,+91-7392566677,B.E,IIM Bangalore,Yes,No,https://linkedin.com/in/ankit-mehta-877,21,Google,2016-09-01 11:41:09,2024-12-19 17:50:06
297,Smita Iyer,Female,34,smita.iyer83@gmail.com,+91-8491718314,CA,Amity,No,No,https://linkedin.com/in/smita-iyer-121,23,Zomato,2020-01-07 23:08:16,2023-02-10 15:45:28
298,Harsh Desai,Male,30,harsh.desai24@gmail.com,+91-9334832473,PhD,XLRI,No,No,https://linkedin.com/in/harsh-desai-849,15,Wipro,2022-09-18 17:10:04,2024-06-27 04:28:18
299,Harsh Das,Male,38,harsh.das82@gmail.com,+91-9173071915,B.Com,IIT Bombay,Yes,No,https://linkedin.com/in/harsh-das-119,20,Flipkart,2022-12-15 07:20:46,2023-03-06 21:34:52
300,Aditya Pandya,Male,45,aditya.pandya99@gmail.com,+91-9368536195,MBA,SRM,No,No,https://linkedin.com/in/aditya-pandya-430,14,None,2019-08-12 03:06:33,2024-11-05 02:02:53
301,Divya Singh,Female,30,divya.singh63@gmail.com,+91-7822987217,M.Tech,IIT Kharagpur,Yes,Yes,https://linkedin.com/in/divya-singh-684,21,Zomato,2023-05-18 15:33:39,2024-12-19 18:16:03
302,Karan Dubey,Male,46,karan.dubey2@gmail.com,+91-7896523274,CA,IIT Madras,Yes,Yes,https://linkedin.com/in/karan-dubey-579,21,Google,2020-01-18 17:47:56,2024-03-01 11:50:45
303,Sidharth Yadav,Male,32,sidharth.yadav6@gmail.com,+91-7302314710,M.Sc,Manipal,No,Yes,https://linkedin.com/in/sidharth-yadav-321,17,Amazon,2017-02-18 23:14:34,2024-01-30 06:12:33
304,Geeta Nair,Female,41,geeta.nair54@gmail.com,+91-7453179940,B.E,Amity,No,No,https://linkedin.com/in/geeta-nair-790,15,None,2023-06-17 13:56:06,2023-06-20 05:35:25
305,Kunal Reddy,Male,41,kunal.reddy57@gmail.com,+91-8513220374,PhD,FMS Delhi,No,No,https://linkedin.com/in/kunal-reddy-965,12,Zomato,2023-02-06 13:52:46,2023-11-28 19:15:36
306,Ankita Bhatt,Female,47,ankita.bhatt47@gmail.com,+91-8943058119,CA,BITS Pilani,Yes,No,https://linkedin.com/in/ankita-bhatt-100,24,Google,2019-03-11 19:01:33,2023-05-19 09:00:19
307,Nisha Banerjee,Female,24,nisha.banerjee71@gmail.com,+91-9195894317,PGDM,BITS Pilani,Yes,No,https://linkedin.com/in/nisha-banerjee-196,2,BYJU'S,2019-12-27 04:08:16,2024-01-11 18:15:14
308,Mohit Khanna,Male,26,mohit.khanna52@gmail.com,+91-9444115276,B.Sc,XLRI,No,Yes,https://linkedin.com/in/mohit-khanna-840,11,None,2021-05-30 05:31:52,2024-12-07 22:36:52
309,Pradeep Khanna,Male,25,pradeep.khanna49@gmail.com,+91-7337057834,B.Tech,XLRI,No,No,https://linkedin.com/in/pradeep-khanna-456,14,Zomato,2017-05-08 07:47:41,2024-09-08 00:40:49
310,Amit Khanna,Male,40,amit.khanna41@gmail.com,+91-9318980522,B.E,IIT Delhi,Yes,No,https://linkedin.com/in/amit-khanna-434,17,None,2018-06-23 04:03:43,2024-02-07 14:48:38
311,Karan Roy,Male,33,karan.roy19@gmail.com,+91-7567747634,PhD,Jadavpur University,No,Yes,https://linkedin.com/in/karan-roy-587,19,None,2016-07-20 17:25:16,2023-03-29 12:32:27
312,Kiran Verma,Female,39,kiran.verma26@gmail.com,+91-9095347470,B.Com,Amity,No,No,https://linkedin.com/in/kiran-verma-674,20,None,2021-11-17 07:15:04,2023-09-30 13:20:43
313,Arjun Dutta,Male,37,arjun.dutta45@gmail.com,+91-7818147210,PhD,Anna University,No,No,https://linkedin.com/in/arjun-dutta-708,21,Google,2019-06-02 05:22:39,2024-03-28 19:09:28
314,Tarun Iyer,Male,30,tarun.iyer20@gmail.com,+91-7368570209,M.Tech,Anna University,No,Yes,https://linkedin.com/in/tarun-iyer-348,20,Infosys,2019-03-24 00:21:44,2023-04-24 09:28:30
315,Suresh Rao,Male,47,suresh.rao28@gmail.com,+91-7875320136,PGDM,Amity,No,No,https://linkedin.com/in/suresh-rao-661,16,Paytm,2017-08-01 22:44:42,2023-01-19 12:37:57
316,Nikhil Reddy,Male,25,nikhil.reddy26@gmail.com,+91-9991559353,B.E,Delhi University,No,No,https://linkedin.com/in/nikhil-reddy-154,15,None,2016-02-04 02:24:42,2023-10-05 21:54:58
317,Dinesh Joshi,Male,24,dinesh.joshi84@gmail.com,+91-8660104622,B.Sc,Delhi University,No,No,https://linkedin.com/in/dinesh-joshi-620,23,Amazon,2019-07-16 15:55:38,2024-06-28 02:11:12
318,Harsh Gupta,Male,25,harsh.gupta68@gmail.com,+91-8309653729,PhD,NIT Warangal,Yes,No,https://linkedin.com/in/harsh-gupta-502,24,Infosys,2016-03-16 11:43:22,2023-12-30 20:19:15
319,Mohit Patel,Male,44,mohit.patel50@gmail.com,+91-7126555049,PGDM,BITS Pilani,Yes,No,https://linkedin.com/in/mohit-patel-330,5,Flipkart,2020-05-28 21:08:05,2024-01-27 16:43:39
320,Shweta Pillai,Female,42,shweta.pillai55@gmail.com,+91-8341673745,B.E,IIM Ahmedabad,Yes,No,https://linkedin.com/in/shweta-pillai-559,18,Infosys,2018-04-26 20:08:37,2024-07-08 21:51:12
321,Swati Pandya,Female,28,swati.pandya99@gmail.com,+91-7623424790,B.E,BHU,No,No,https://linkedin.com/in/swati-pandya-425,3,Ola,2021-12-23 23:07:11,2023-11-22 04:46:01
322,Ashish Dutta,Male,37,ashish.dutta57@gmail.com,+91-9735238728,M.Sc,Delhi University,No,No,https://linkedin.com/in/ashish-dutta-897,7,Amazon,2017-06-22 05:01:48,2024-09-18 19:17:38
323,Asha Iyer,Female,31,asha.iyer46@gmail.com,+91-7341344355,CA,IIT Bombay,Yes,No,https://linkedin.com/in/asha-iyer-614,20,BYJU'S,2023-12-26 20:23:11,2024-02-01 15:30:08
324,Nisha Iyer,Female,25,nisha.iyer98@gmail.com,+91-7064485730,M.Sc,BHU,No,No,https://linkedin.com/in/nisha-iyer-327,24,None,2018-04-10 06:04:11,2024-03-25 19:31:44
325,Dinesh Basu,Male,52,dinesh.basu55@gmail.com,+91-8738889526,B.Tech,NIT Warangal,Yes,No,https://linkedin.com/in/dinesh-basu-837,11,Zomato,2022-11-09 23:36:38,2024-07-03 16:41:56
326,Alok Joshi,Male,38,alok.joshi6@gmail.com,+91-8055366449,PGDM,VIT,No,No,https://linkedin.com/in/alok-joshi-852,2,Ola,2020-05-05 16:48:40,2023-02-20 06:18:28
327,Ashish Khanna,Male,48,ashish.khanna60@gmail.com,+91-7715054503,B.Com,Delhi University,No,No,https://linkedin.com/in/ashish-khanna-727,2,None,2021-10-18 04:29:53,2024-10-23 14:05:46
328,Sanjay Tiwari,Male,52,sanjay.tiwari18@gmail.com,+91-8688208703,B.Com,Amity,No,No,https://linkedin.com/in/sanjay-tiwari-561,1,Infosys,2021-02-01 18:57:45,2023-07-26 14:05:16
329,Varun Reddy,Male,46,varun.reddy12@gmail.com,+91-7490334658,CA,IIT Kharagpur,Yes,No,https://linkedin.com/in/varun-reddy-187,17,None,2020-04-22 23:50:32,2024-09-18 05:24:35
330,Amit Reddy,Male,34,amit.reddy85@gmail.com,+91-7644630523,MBA,XLRI,No,No,https://linkedin.com/in/amit-reddy-283,25,None,2016-07-29 13:19:19,2024-04-01 09:40:11
331,Ashish Verma,Male,30,ashish.verma80@gmail.com,+91-8087103368,B.Tech,IIT Bombay,Yes,No,https://linkedin.com/in/ashish-verma-609,16,Ola,2016-01-24 19:56:31,2023-09-01 06:37:42
332,Pankaj Dutta,Male,38,pankaj.dutta77@gmail.com,+91-9577418939,B.Tech,IIT Madras,Yes,No,https://linkedin.com/in/pankaj-dutta-660,9,Paytm,2023-01-18 17:52:52,2023-08-01 01:11:09
333,Mahesh Bose,Male,25,mahesh.bose5@gmail.com,+91-9864728338,B.E,IIM Ahmedabad,Yes,No,https://linkedin.com/in/mahesh-bose-439,3,Google,2017-03-22 13:11:10,2024-11-19 09:39:42
334,Pallavi Tiwari,Female,35,pallavi.tiwari12@gmail.com,+91-8285460026,PhD,IIT Delhi,Yes,No,https://linkedin.com/in/pallavi-tiwari-488,3,None,2020-10-16 17:04:18,2024-04-27 04:07:44
335,Suresh Pandya,Male,37,suresh.pandya27@gmail.com,+91-9988564933,B.Sc,Manipal,No,Yes,https://linkedin.com/in/suresh-pandya-211,19,None,2023-01-20 16:05:30,2024-12-06 19:59:50
336,Gaurav Dubey,Male,51,gaurav.dubey34@gmail.com,+91-9256538123,B.E,Pune University,No,No,https://linkedin.com/in/gaurav-dubey-232,20,Paytm,2021-07-26 16:46:40,2024-05-24 15:51:11
337,Sita Kapoor,Female,30,sita.kapoor16@gmail.com,+91-7103022527,CA,IIT Bombay,Yes,Yes,https://linkedin.com/in/sita-kapoor-855,7,None,2022-11-25 13:26:02,2023-12-08 11:35:51
338,Priya Menon,Female,46,priya.menon33@gmail.com,+91-7291353679,M.Sc,Delhi University,No,No,https://linkedin.com/in/priya-menon-618,18,Flipkart,2016-01-26 03:43:21,2023-12-16 12:46:36
339,Sidharth Nair,Male,30,sidharth.nair44@gmail.com,+91-9888249353,CA,Pune University,No,No,https://linkedin.com/in/sidharth-nair-916,2,None,2017-07-10 15:09:40,2024-04-16 17:57:21
340,Mohit Dutta,Male,47,mohit.dutta67@gmail.com,+91-8285671613,B.E,IIT Delhi,Yes,No,https://linkedin.com/in/mohit-dutta-668,18,Google,2018-05-03 18:43:21,2023-12-29 02:09:17
341,Suresh Sen,Male,44,suresh.sen22@gmail.com,+91-9452347464,B.E,Amity,No,No,https://linkedin.com/in/suresh-sen-291,20,Amazon,2019-06-16 22:54:20,2024-12-27 01:17:26
342,Vivek Pillai,Male,35,vivek.pillai39@gmail.com,+91-7928313711,PGDM,VIT,No,No,https://linkedin.com/in/vivek-pillai-279,4,Flipkart,2016-06-02 06:58:05,2024-03-30 16:01:51
343,Ashish Trivedi,Male,28,ashish.trivedi44@gmail.com,+91-9076496184,PGDM,NIT Trichy,Yes,No,https://linkedin.com/in/ashish-trivedi-894,11,Infosys,2017-02-06 16:43:08,2023-07-30 23:02:29
344,Varun Pandya,Male,27,varun.pandya40@gmail.com,+91-7189107235,B.E,IIT Bombay,Yes,Yes,https://linkedin.com/in/varun-pandya-441,15,Google,2017-02-26 16:49:42,2023-11-16 00:36:48
345,Mahesh Rao,Male,34,mahesh.rao25@gmail.com,+91-8230797512,M.Sc,NIT Trichy,Yes,No,https://linkedin.com/in/mahesh-rao-891,15,None,2017-04-26 08:09:10,2023-10-08 03:00:39
346,Aditya Modi,Male,35,aditya.modi41@gmail.com,+91-8164159934,MBA,Amity,No,No,https://linkedin.com/in/aditya-modi-687,8,Infosys,2016-10-18 09:39:57,2023-12-13 17:28:03
347,Priya Shah,Female,52,priya.shah14@gmail.com,+91-8647547914,B.Tech,IIT Delhi,Yes,Yes,https://linkedin.com/in/priya-shah-536,13,Infosys,2023-11-26 19:57:37,2024-10-06 22:44:28
348,Rohit Chatterjee,Male,50,rohit.chatterjee92@gmail.com,+91-9881365834,PGDM,NIT Trichy,Yes,Yes,https://linkedin.com/in/rohit-chatterjee-873,25,BYJU'S,2022-05-14 04:05:52,2024-12-16 14:06:29
349,Kunal Basu,Male,39,kunal.basu29@gmail.com,+91-7617279928,B.E,NIT Warangal,Yes,No,https://linkedin.com/in/kunal-basu-472,13,Infosys,2023-11-05 21:21:50,2023-11-29 14:31:01
350,Vivek Agarwal,Male,35,vivek.agarwal60@gmail.com,+91-7733587041,M.Sc,SRM,No,No,https://linkedin.com/in/vivek-agarwal-718,19,Infosys,2021-09-11 03:25:52,2023-04-20 10:35:41
351,Mohit Khanna,Male,41,mohit.khanna52@gmail.com,+91-9536332631,B.Com,VIT,No,No,https://linkedin.com/in/mohit-khanna-735,8,Ola,2017-10-13 15:24:04,2023-12-15 06:52:44
352,Mohit Roy,Male,42,mohit.roy70@gmail.com,+91-9981279224,B.Sc,Pune University,No,No,https://linkedin.com/in/mohit-roy-778,22,Amazon,2023-12-25 18:53:31,2023-04-28 18:38:29
353,Harsh Joshi,Male,50,harsh.joshi23@gmail.com,+91-8323003336,B.Com,VIT,No,Yes,https://linkedin.com/in/harsh-joshi-712,4,None,2022-09-08 12:20:31,2024-10-22 21:03:05
354,Seema Verma,Female,52,seema.verma97@gmail.com,+91-9732169658,B.Tech,XLRI,No,No,https://linkedin.com/in/seema-verma-776,5,BYJU'S,2021-12-16 09:24:39,2024-08-14 14:12:13
355,Rohit Chaudhary,Male,49,rohit.chaudhary56@gmail.com,+91-8478605304,M.Tech,Delhi University,No,Yes,https://linkedin.com/in/rohit-chaudhary-726,17,Zomato,2017-06-06 09:03:23,2024-07-16 01:00:45
356,Arjun Kapoor,Male,51,arjun.kapoor31@gmail.com,+91-8854203954,B.E,IIT Bombay,Yes,No,https://linkedin.com/in/arjun-kapoor-740,11,None,2020-04-16 12:24:27,2024-07-12 06:42:11
357,Rajesh Menon,Male,41,rajesh.menon47@gmail.com,+91-8792012815,MBA,Jadavpur University,No,No,https://linkedin.com/in/rajesh-menon-993,22,Infosys,2017-07-04 00:04:41,2023-01-17 04:46:56
358,Kunal Roy,Male,28,kunal.roy18@gmail.com,+91-9758412226,B.Com,IIT Madras,Yes,No,https://linkedin.com/in/kunal-roy-907,23,Paytm,2020-10-09 19:11:29,2024-06-05 13:35:52
359,Deepak Bose,Male,31,deepak.bose55@gmail.com,+91-9596622371,B.Tech,IIM Bangalore,Yes,No,https://linkedin.com/in/deepak-bose-967,24,TCS,2023-12-26 16:17:26,2024-07-13 18:23:02
360,Shiv Shah,Male,46,shiv.shah15@gmail.com,+91-9492235444,CA,Anna University,No,Yes,https://linkedin.com/in/shiv-shah-245,24,None,2021-11-26 08:29:33,2023-03-22 16:56:39
361,Karan Shah,Male,44,karan.shah88@gmail.com,+91-9721667797,PGDM,IIT Madras,Yes,No,https://linkedin.com/in/karan-shah-727,2,Flipkart,2021-12-31 00:30:29,2024-06-08 15:36:46
362,Gaurav Bose,Male,49,gaurav.bose38@gmail.com,+91-7719442108,B.Tech,Delhi University,No,No,https://linkedin.com/in/gaurav-bose-844,19,Wipro,2016-09-08 20:30:37,2023-06-23 18:03:42
363,Mohit Yadav,Male,24,mohit.yadav63@gmail.com,+91-7354378489,MBA,Delhi University,No,Yes,https://linkedin.com/in/mohit-yadav-971,9,Wipro,2017-06-26 19:17:17,2023-09-21 00:47:07
364,Vandana Tiwari,Female,47,vandana.tiwari85@gmail.com,+91-8918360758,PhD,IIM Ahmedabad,Yes,No,https://linkedin.com/in/vandana-tiwari-367,23,TCS,2021-06-09 05:51:33,2023-02-03 10:05:09
365,Seema Desai,Female,48,seema.desai99@gmail.com,+91-8645689727,B.Sc,BHU,No,No,https://linkedin.com/in/seema-desai-843,21,Infosys,2018-05-13 18:46:53,2023-12-20 01:41:16
366,Amit Reddy,Male,38,amit.reddy61@gmail.com,+91-8294361972,CA,Jadavpur University,No,No,https://linkedin.com/in/amit-reddy-488,22,None,2020-05-16 15:16:09,2024-06-27 13:00:18
367,Deepak Banerjee,Male,40,deepak.banerjee13@gmail.com,+91-9281887562,PhD,IIT Delhi,Yes,No,https://linkedin.com/in/deepak-banerjee-725,21,Wipro,2019-10-04 08:17:51,2023-04-11 08:41:37
368,Pankaj Pillai,Male,47,pankaj.pillai99@gmail.com,+91-7837199429,PGDM,XLRI,No,No,https://linkedin.com/in/pankaj-pillai-793,23,Infosys,2019-07-07 17:00:43,2023-01-09 02:00:26
369,Alok Joshi,Male,45,alok.joshi45@gmail.com,+91-7942385937,M.Sc,VIT,No,No,https://linkedin.com/in/alok-joshi-297,2,Google,2022-12-12 02:03:38,2024-11-03 06:38:40
370,Varun Agarwal,Male,26,varun.agarwal17@gmail.com,+91-8614729199,B.E,FMS Delhi,No,No,https://linkedin.com/in/varun-agarwal-213,23,Infosys,2018-11-03 09:29:42,2023-03-19 20:29:59
371,Ankit Roy,Male,46,ankit.roy33@gmail.com,+91-7695638799,M.Tech,Pune University,No,No,https://linkedin.com/in/ankit-roy-895,2,Zomato,2020-05-10 10:03:16,2023-09-29 05:28:04
372,Tarun Menon,Male,43,tarun.menon23@gmail.com,+91-9772329146,CA,Jadavpur University,No,Yes,https://linkedin.com/in/tarun-menon-247,18,None,2020-11-01 06:39:41,2023-04-19 14:45:16
373,Amit Kumar,Male,26,amit.kumar94@gmail.com,+91-8076303124,CA,XLRI,No,Yes,https://linkedin.com/in/amit-kumar-609,5,None,2023-03-07 00:59:02,2024-11-11 12:17:09
374,Ashish Ghosh,Male,42,ashish.ghosh66@gmail.com,+91-9107452219,CA,IIT Bombay,Yes,No,https://linkedin.com/in/ashish-ghosh-513,24,None,2016-10-14 17:14:00,2024-01-29 22:52:49
375,Arjun Chaudhary,Male,41,arjun.chaudhary43@gmail.com,+91-9928462203,M.Sc,Anna University,No,No,https://linkedin.com/in/arjun-chaudhary-156,21,None,2017-01-06 11:34:54,2023-12-15 02:53:29
376,Mahesh Menon,Male,29,mahesh.menon6@gmail.com,+91-8649970409,B.Sc,Amity,No,No,https://linkedin.com/in/mahesh-menon-812,13,Amazon,2023-01-27 22:22:31,2023-03-28 20:28:47
377,Kavya Singh,Female,30,kavya.singh93@gmail.com,+91-9546681221,B.Sc,IIT Bombay,Yes,No,https://linkedin.com/in/kavya-singh-498,3,None,2022-01-23 20:19:31,2024-06-30 14:01:02
378,Amit Chatterjee,Male,49,amit.chatterjee52@gmail.com,+91-7507609787,B.Sc,IIT Delhi,Yes,No,https://linkedin.com/in/amit-chatterjee-794,18,Infosys,2022-07-01 07:59:04,2023-02-07 23:09:31
379,Vivek Yadav,Male,25,vivek.yadav90@gmail.com,+91-9786516452,MBA,NIT Warangal,Yes,Yes,https://linkedin.com/in/vivek-yadav-276,21,Google,2019-06-12 03:29:39,2023-06-24 18:04:52
380,Arjun Desai,Male,43,arjun.desai29@gmail.com,+91-7271055863,B.Sc,FMS Delhi,No,No,https://linkedin.com/in/arjun-desai-445,24,None,2020-07-04 10:07:43,2024-08-12 17:08:20
381,Kiran Singh,Female,42,kiran.singh43@gmail.com,+91-7271535964,M.Tech,IIM Bangalore,Yes,No,https://linkedin.com/in/kiran-singh-244,25,Zomato,2017-11-19 22:23:35,2023-06-18 14:15:59
382,Rajesh Joshi,Male,49,rajesh.joshi49@gmail.com,+91-7677546830,B.Tech,FMS Delhi,No,No,https://linkedin.com/in/rajesh-joshi-182,1,Google,2018-01-04 02:45:41,2024-08-30 09:26:44
383,Varun Verma,Male,30,varun.verma82@gmail.com,+91-8163720296,PGDM,IIM Ahmedabad,Yes,No,https://linkedin.com/in/varun-verma-521,8,Infosys,2022-11-05 22:02:38,2023-07-04 22:31:39
